Series,MSE,MAE,RMSE
BSBA-FINANCIAL_MANAGEMENT_1st_year,3703.0,,60.852280154485584
BSBA-FINANCIAL_MANAGEMENT_2nd_year,1840.5,,42.90104893822527
BSBA-FINANCIAL_MANAGEMENT_3rd_year,2914.5,,53.986109324529025
BSBA-FINANCIAL_MANAGEMENT_4th_year,2576.5,,50.75923561284193
BSBA-MARKETING_MANAGEMENT_1st_year,4441.142857142857,,66.64190016155645
BSBA-MARKETING_MANAGEMENT_2nd_year,1738.9285714285713,,41.70046248458848
BSBA-MARKETING_MANAGEMENT_3rd_year,1959.7857142857142,,44.26946706575215
BSBA-MARKETING_MANAGEMENT_4th_year,2747.1428571428573,,52.413193540776135
BSCS_1st_year,441.64285714285717,,21.01530054847794
BSCS_2nd_year,144.57142857142858,,12.023785950000464
BSCS_3rd_year,124.0,,11.135528725660043
BSCS_4th_year,316.64285714285717,,17.794461417611302
BSIT_1st_year,12165.07142857143,,110.29538262579912
BSIT_2nd_year,3695.785714285714,,60.79297421812585
BSIT_3rd_year,3578.285714285714,,59.81877392830544
BSIT_4th_year,5198.642857142857,,72.10161480260243
