ds,yhat,yhat_lower,yhat_upper
2018-01-01,62.28992471999797,20.656631837135873,104.33713798392114
2018-02-01,55.69486357887663,14.74662680151777,94.2061937279068
2019-01-01,55.34616643020505,17.203044882966736,94.6308239053663
2019-02-01,51.08263348684071,13.82541912004107,90.55536709903316
2020-01-01,48.44609112713811,7.315696933231939,89.66170346287807
2020-02-01,46.52924985929593,3.741492509903574,90.40717909490543
2021-01-01,47.52510375407495,3.184479164793518,87.40325440044552
2021-02-01,38.617182823570225,-4.4283247603730285,78.8460022995955
2022-01-01,40.540252493775995,-0.5133518903235748,82.33558285469387
2022-02-01,33.945220115287846,-4.837720486376214,73.36181499194824
2023-01-01,33.59683461452984,-7.136091811436377,77.88157620552215
2023-02-01,29.333330711310353,-13.121641722125927,72.76029498269052
2024-01-01,26.69710240811701,-14.316802198603803,68.18759620501882
2024-02-01,24.78029028235038,-16.61143441242603,66.45668059156192
2024-02-29,113.79543867044853,70.79982941931122,152.0553333414622
2024-03-31,103.12360758701413,60.848925719898574,142.29154409601432
2024-04-30,93.71272206184067,51.6520422801524,134.53166778684894
2024-05-31,87.28142332926586,46.59704825695824,127.28776835161493
2024-06-30,82.61176170364305,41.313557593825614,118.80498181656657
2024-07-31,82.24733719880629,40.77350149817181,119.89691168684146
2024-08-31,84.87563016127551,42.129642170435915,124.39492634260569
2024-09-30,92.07943814104337,49.74588551014842,133.10913957992446
2024-10-31,100.01523833640402,57.371805591550874,137.77929775000283
2024-11-30,111.01111218863123,68.85022877140025,148.51398749104553
2024-12-31,19.843237740031597,-16.94599914030908,64.60504669479097
2025-01-31,20.28477855014777,-22.14452563814856,59.34380949264684
